Dates,Open,Close,High,Low,Value,Volume,Number Ticks
9/25/22 17:00,1.3605,1.3595,1.3607,1.3591,0,0,2928
9/25/22 17:15,1.3595,1.3596,1.3596,1.3593,0,0,5286
9/25/22 17:30,1.3596,1.3601,1.3602,1.3594,0,0,5786
9/25/22 17:45,1.3601,1.3602,1.3603,1.3599,0,0,5891
9/25/22 18:00,1.3602,1.359,1.3615,1.3589,0,0,9985
9/25/22 18:15,1.359,1.358,1.3596,1.3578,0,0,11713
9/25/22 18:30,1.358,1.3587,1.3588,1.358,0,0,9927
9/25/22 18:45,1.3587,1.358,1.3587,1.358,0,0,9772
9/25/22 19:00,1.358,1.3584,1.3585,1.3578,0,0,10556
9/25/22 19:15,1.3584,1.3581,1.3586,1.3579,0,0,10079
9/25/22 19:30,1.3581,1.3591,1.3592,1.3577,0,0,11098
9/25/22 19:45,1.3591,1.358,1.3592,1.3578,0,0,12475
9/25/22 20:00,1.358,1.3576,1.3584,1.3569,0,0,14510
9/25/22 20:15,1.3576,1.3585,1.3588,1.3576,0,0,13505
9/25/22 20:30,1.3585,1.3595,1.3599,1.3582,0,0,13669
9/25/22 20:45,1.3595,1.3608,1.3624,1.3593,0,0,20367
9/25/22 21:00,1.3608,1.3565,1.3608,1.356,0,0,25200
9/25/22 21:15,1.3565,1.3603,1.3611,1.3561,0,0,20381
9/25/22 21:30,1.3603,1.3597,1.3608,1.3595,0,0,16664
9/25/22 21:45,1.3597,1.3599,1.3611,1.3596,0,0,15748
9/25/22 22:00,1.3599,1.3603,1.3612,1.3597,0,0,15519
9/25/22 22:15,1.3603,1.3598,1.3604,1.3594,0,0,14956
9/25/22 22:30,1.3598,1.36,1.3605,1.3594,0,0,14113
9/25/22 22:45,1.36,1.361,1.3616,1.36,0,0,13830
9/25/22 23:00,1.361,1.3616,1.3616,1.3609,0,0,12922
9/25/22 23:15,1.3616,1.3619,1.3621,1.3609,0,0,11852
9/25/22 23:30,1.3619,1.3631,1.3632,1.3615,0,0,12744
9/25/22 23:45,1.3631,1.3633,1.3634,1.3624,0,0,14494
9/26/22 0:00,1.3634,1.3636,1.3638,1.3629,0,0,12801
9/26/22 0:15,1.3636,1.3625,1.3636,1.3624,0,0,13001
9/26/22 0:30,1.3625,1.3626,1.3633,1.3624,0,0,13027
9/26/22 0:45,1.3626,1.3633,1.3637,1.3626,0,0,11494
9/26/22 1:00,1.3633,1.3632,1.3636,1.3627,0,0,13323
9/26/22 1:15,1.3632,1.3637,1.3638,1.3626,0,0,13197
9/26/22 1:30,1.3637,1.3624,1.3638,1.3624,0,0,13932
9/26/22 1:45,1.3624,1.3624,1.3625,1.361,0,0,14721
9/26/22 2:00,1.3624,1.3627,1.3628,1.3603,0,0,18137
9/26/22 2:15,1.3627,1.3628,1.3629,1.3615,0,0,17392
9/26/22 2:30,1.3628,1.3635,1.3637,1.3626,0,0,16722
9/26/22 2:45,1.3635,1.3627,1.3636,1.3619,0,0,17213
9/26/22 3:00,1.3627,1.3594,1.3627,1.3583,0,0,22152
9/26/22 3:15,1.3594,1.3575,1.3604,1.3568,0,0,21453
9/26/22 3:30,1.3575,1.3583,1.3594,1.3571,0,0,19240
9/26/22 3:45,1.3583,1.3609,1.3611,1.3583,0,0,17031
9/26/22 4:00,1.3609,1.3593,1.3614,1.3589,0,0,18769
9/26/22 4:15,1.3593,1.3589,1.3609,1.3585,0,0,17065
9/26/22 4:30,1.3589,1.3585,1.3592,1.3582,0,0,15741
9/26/22 4:45,1.3585,1.3589,1.3592,1.3582,0,0,15565
9/26/22 5:00,1.3589,1.3598,1.3598,1.3585,0,0,15800
9/26/22 5:15,1.3598,1.3611,1.3611,1.3594,0,0,14966
9/26/22 5:30,1.3611,1.3634,1.3636,1.361,0,0,15272
9/26/22 5:45,1.3634,1.3644,1.3646,1.363,0,0,14455
9/26/22 6:00,1.3644,1.3656,1.3657,1.3635,0,0,17954
9/26/22 6:15,1.3656,1.3636,1.3656,1.3635,0,0,16592
9/26/22 6:30,1.3636,1.3639,1.3644,1.3635,0,0,15000
9/26/22 6:45,1.3639,1.365,1.3651,1.3635,0,0,15772
9/26/22 7:00,1.365,1.3652,1.3656,1.3648,0,0,15740
9/26/22 7:15,1.3652,1.3654,1.3654,1.3641,0,0,17581
9/26/22 7:30,1.3654,1.3668,1.3673,1.3643,0,0,18364
9/26/22 7:45,1.3668,1.3673,1.3682,1.3668,0,0,16112
9/26/22 8:00,1.3673,1.3679,1.3684,1.3669,0,0,20401
9/26/22 8:15,1.3679,1.3665,1.3696,1.3661,0,0,18468
9/26/22 8:30,1.3665,1.3659,1.3673,1.3651,0,0,19038
9/26/22 8:45,1.3659,1.3633,1.366,1.3629,0,0,21462
9/26/22 9:00,1.3633,1.3654,1.366,1.3632,0,0,17507
9/26/22 9:15,1.3654,1.365,1.366,1.3643,0,0,15876
9/26/22 9:30,1.365,1.3642,1.3653,1.3629,0,0,20786
9/26/22 9:45,1.3642,1.3634,1.3643,1.3624,0,0,20677
9/26/22 10:00,1.3634,1.3652,1.366,1.3632,0,0,22589
9/26/22 10:15,1.3652,1.3659,1.3661,1.3643,0,0,18474
9/26/22 10:30,1.3659,1.3669,1.3673,1.3652,0,0,20757
9/26/22 10:45,1.3669,1.3684,1.3689,1.3667,0,0,18514
9/26/22 11:00,1.3684,1.3682,1.3691,1.3678,0,0,17542
9/26/22 11:15,1.3682,1.3705,1.3709,1.368,0,0,19133
9/26/22 11:30,1.3705,1.3756,1.3756,1.37,0,0,24494
9/26/22 11:45,1.3756,1.3746,1.3767,1.3738,0,0,22463
9/26/22 12:00,1.3746,1.3779,1.3808,1.3745,0,0,23429
9/26/22 12:15,1.3779,1.3793,1.3795,1.3766,0,0,19732
9/26/22 12:30,1.3793,1.378,1.3793,1.3774,0,0,18683
9/26/22 12:45,1.378,1.375,1.3781,1.3749,0,0,16289
9/26/22 13:00,1.375,1.3795,1.3797,1.3749,0,0,17623
9/26/22 13:15,1.3795,1.3773,1.3797,1.3773,0,0,16310
9/26/22 13:30,1.3773,1.377,1.3778,1.3767,0,0,16762
9/26/22 13:45,1.377,1.3769,1.377,1.3755,0,0,16026
9/26/22 14:00,1.3769,1.3747,1.377,1.3744,0,0,17501
9/26/22 14:15,1.3747,1.3768,1.3768,1.3744,0,0,14773
9/26/22 14:30,1.3768,1.3765,1.3779,1.376,0,0,14893
9/26/22 14:45,1.3765,1.3747,1.3769,1.3739,0,0,18562
9/26/22 15:00,1.3747,1.3735,1.3747,1.373,0,0,17823
9/26/22 15:15,1.3735,1.3739,1.3746,1.3732,0,0,16548
9/26/22 15:30,1.3739,1.3734,1.3744,1.3733,0,0,16803
9/26/22 15:45,1.3734,1.3734,1.3737,1.3722,0,0,17052
9/26/22 16:00,1.3734,1.3727,1.3737,1.3724,0,0,13304
9/26/22 16:15,1.3727,1.3728,1.3735,1.3726,0,0,12193
9/26/22 16:30,1.3728,1.3738,1.3738,1.3728,0,0,9429
9/26/22 16:45,1.3738,1.3735,1.3741,1.3732,0,0,9447
9/26/22 17:00,1.3735,1.3737,1.3745,1.3735,0,0,6979
9/26/22 17:15,1.3737,1.3737,1.3739,1.3732,0,0,8057
9/26/22 17:30,1.3737,1.3736,1.3737,1.3736,0,0,5918
9/26/22 17:45,1.3736,1.3735,1.3738,1.3735,0,0,6933
9/26/22 18:00,1.3735,1.3738,1.3738,1.3732,0,0,9562
9/26/22 18:15,1.3738,1.3741,1.3742,1.3736,0,0,10311
9/26/22 18:30,1.374,1.3731,1.374,1.373,0,0,9874
9/26/22 18:45,1.3731,1.3737,1.3738,1.3731,0,0,9204
9/26/22 19:00,1.3737,1.3731,1.3738,1.3731,0,0,9716
9/26/22 19:15,1.3731,1.3723,1.3732,1.3723,0,0,9984
9/26/22 19:30,1.3723,1.372,1.3725,1.3719,0,0,10727
9/26/22 19:45,1.372,1.3713,1.3721,1.3711,0,0,11618
9/26/22 20:00,1.3713,1.3698,1.3715,1.3697,0,0,13165
9/26/22 20:15,1.3698,1.3702,1.3705,1.3696,0,0,12877
9/26/22 20:30,1.3702,1.37,1.3704,1.3696,0,0,13040
9/26/22 20:45,1.37,1.3688,1.37,1.3687,0,0,13778
9/26/22 21:00,1.3688,1.3687,1.3691,1.368,0,0,13078
9/26/22 21:15,1.3687,1.3695,1.3699,1.3687,0,0,14479
9/26/22 21:30,1.3695,1.3696,1.3696,1.3686,0,0,14840
9/26/22 21:45,1.3696,1.3697,1.3701,1.3694,0,0,13725
9/26/22 22:00,1.3697,1.3701,1.3704,1.3696,0,0,13454
9/26/22 22:15,1.3701,1.37,1.3702,1.3695,0,0,12740
9/26/22 22:30,1.37,1.37,1.3703,1.3696,0,0,13241
9/26/22 22:45,1.37,1.3699,1.3704,1.3696,0,0,12277
9/26/22 23:00,1.3699,1.3706,1.3708,1.3697,0,0,11567
9/26/22 23:15,1.3706,1.3703,1.371,1.3702,0,0,11531
9/26/22 23:30,1.3703,1.3693,1.3705,1.3692,0,0,11821
9/26/22 23:45,1.3693,1.3697,1.3699,1.3693,0,0,11557
9/27/22 0:00,1.3697,1.3696,1.3698,1.3692,0,0,11407
9/27/22 0:15,1.3696,1.3687,1.3696,1.3686,0,0,11937
9/27/22 0:30,1.3687,1.3691,1.3695,1.3687,0,0,10733
9/27/22 0:45,1.3691,1.3693,1.3696,1.369,0,0,10263
9/27/22 1:00,1.3693,1.3692,1.3695,1.3687,0,0,11574
9/27/22 1:15,1.3692,1.369,1.3697,1.369,0,0,11074
9/27/22 1:30,1.369,1.3679,1.3694,1.3677,0,0,13217
9/27/22 1:45,1.3679,1.3667,1.368,1.3661,0,0,13633
9/27/22 2:00,1.3667,1.3672,1.3673,1.3658,0,0,14265
9/27/22 2:15,1.3672,1.3643,1.3672,1.364,0,0,16249
9/27/22 2:30,1.3643,1.3653,1.3654,1.3643,0,0,15352
